customer_no,timestamp,location,next_location
6,2019-09-02 07:16:00,dairy,spices
18,2019-09-02 07:16:00,dairy,checkout
22,2019-09-02 07:16:00,dairy,checkout
19,2019-09-02 07:16:00,drinks,drinks
24,2019-09-02 07:16:00,drinks,drinks
28,2019-09-02 07:16:00,drinks,drinks
29,2019-09-02 07:16:00,drinks,drinks
30,2019-09-02 07:16:00,entry,spices
31,2019-09-02 07:16:00,entry,spices
32,2019-09-02 07:16:00,entry,drinks
33,2019-09-02 07:16:00,entry,fruit
34,2019-09-02 07:16:00,entry,spices
17,2019-09-02 07:16:00,fruit,fruit
26,2019-09-02 07:16:00,fruit,fruit
25,2019-09-02 07:16:00,spices,dairy
27,2019-09-02 07:16:00,spices,spices
18,2019-09-02 07:17:00,checkout,checkout
22,2019-09-02 07:17:00,checkout,checkout
25,2019-09-02 07:17:00,dairy,spices
19,2019-09-02 07:17:00,drinks,drinks
24,2019-09-02 07:17:00,drinks,drinks
28,2019-09-02 07:17:00,drinks,drinks
29,2019-09-02 07:17:00,drinks,checkout
32,2019-09-02 07:17:00,drinks,drinks
35,2019-09-02 07:17:00,entry,dairy
17,2019-09-02 07:17:00,fruit,fruit
26,2019-09-02 07:17:00,fruit,fruit
33,2019-09-02 07:17:00,fruit,fruit
6,2019-09-02 07:17:00,spices,drinks
27,2019-09-02 07:17:00,spices,spices
30,2019-09-02 07:17:00,spices,drinks
31,2019-09-02 07:17:00,spices,checkout
34,2019-09-02 07:17:00,spices,drinks
29,2019-09-02 07:18:00,checkout,checkout
31,2019-09-02 07:18:00,checkout,checkout
35,2019-09-02 07:18:00,dairy,drinks
6,2019-09-02 07:18:00,drinks,drinks
19,2019-09-02 07:18:00,drinks,drinks
24,2019-09-02 07:18:00,drinks,drinks
28,2019-09-02 07:18:00,drinks,checkout
30,2019-09-02 07:18:00,drinks,fruit
32,2019-09-02 07:18:00,drinks,drinks
34,2019-09-02 07:18:00,drinks,drinks
17,2019-09-02 07:18:00,fruit,fruit
26,2019-09-02 07:18:00,fruit,fruit
33,2019-09-02 07:18:00,fruit,fruit
25,2019-09-02 07:18:00,spices,drinks
27,2019-09-02 07:18:00,spices,dairy
28,2019-09-02 07:19:00,checkout,checkout
27,2019-09-02 07:19:00,dairy,dairy
6,2019-09-02 07:19:00,drinks,drinks
19,2019-09-02 07:19:00,drinks,checkout
24,2019-09-02 07:19:00,drinks,checkout
25,2019-09-02 07:19:00,drinks,drinks
32,2019-09-02 07:19:00,drinks,checkout
34,2019-09-02 07:19:00,drinks,drinks
35,2019-09-02 07:19:00,drinks,drinks
36,2019-09-02 07:19:00,entry,dairy
17,2019-09-02 07:19:00,fruit,fruit
26,2019-09-02 07:19:00,fruit,dairy
30,2019-09-02 07:19:00,fruit,dairy
33,2019-09-02 07:19:00,fruit,dairy
19,2019-09-02 07:20:00,checkout,checkout
24,2019-09-02 07:20:00,checkout,checkout
32,2019-09-02 07:20:00,checkout,checkout
26,2019-09-02 07:20:00,dairy,dairy
27,2019-09-02 07:20:00,dairy,dairy
30,2019-09-02 07:20:00,dairy,fruit
33,2019-09-02 07:20:00,dairy,dairy
36,2019-09-02 07:20:00,dairy,checkout
6,2019-09-02 07:20:00,drinks,drinks
25,2019-09-02 07:20:00,drinks,drinks
34,2019-09-02 07:20:00,drinks,drinks
35,2019-09-02 07:20:00,drinks,drinks
17,2019-09-02 07:20:00,fruit,fruit
36,2019-09-02 07:21:00,checkout,checkout
26,2019-09-02 07:21:00,dairy,dairy
27,2019-09-02 07:21:00,dairy,dairy
33,2019-09-02 07:21:00,dairy,spices
6,2019-09-02 07:21:00,drinks,drinks
25,2019-09-02 07:21:00,drinks,checkout
34,2019-09-02 07:21:00,drinks,drinks
35,2019-09-02 07:21:00,drinks,checkout
37,2019-09-02 07:21:00,entry,fruit
38,2019-09-02 07:21:00,entry,fruit
17,2019-09-02 07:21:00,fruit,checkout
30,2019-09-02 07:21:00,fruit,fruit
17,2019-09-02 07:22:00,checkout,checkout
25,2019-09-02 07:22:00,checkout,checkout
35,2019-09-02 07:22:00,checkout,checkout
26,2019-09-02 07:22:00,dairy,dairy
27,2019-09-02 07:22:00,dairy,dairy
6,2019-09-02 07:22:00,drinks,drinks
34,2019-09-02 07:22:00,drinks,drinks
30,2019-09-02 07:22:00,fruit,checkout
37,2019-09-02 07:22:00,fruit,fruit
38,2019-09-02 07:22:00,fruit,fruit
33,2019-09-02 07:22:00,spices,dairy
30,2019-09-02 07:23:00,checkout,checkout
26,2019-09-02 07:23:00,dairy,checkout
27,2019-09-02 07:23:00,dairy,dairy
33,2019-09-02 07:23:00,dairy,drinks
6,2019-09-02 07:23:00,drinks,drinks
34,2019-09-02 07:23:00,drinks,drinks
37,2019-09-02 07:23:00,fruit,fruit
38,2019-09-02 07:23:00,fruit,fruit
26,2019-09-02 07:24:00,checkout,checkout
27,2019-09-02 07:24:00,dairy,dairy
6,2019-09-02 07:24:00,drinks,spices
33,2019-09-02 07:24:00,drinks,drinks
34,2019-09-02 07:24:00,drinks,spices
37,2019-09-02 07:24:00,fruit,fruit
38,2019-09-02 07:24:00,fruit,fruit
27,2019-09-02 07:25:00,dairy,dairy
33,2019-09-02 07:25:00,drinks,spices
39,2019-09-02 07:25:00,entry,dairy
40,2019-09-02 07:25:00,entry,dairy
41,2019-09-02 07:25:00,entry,drinks
42,2019-09-02 07:25:00,entry,dairy
43,2019-09-02 07:25:00,entry,fruit
44,2019-09-02 07:25:00,entry,fruit
45,2019-09-02 07:25:00,entry,spices
46,2019-09-02 07:25:00,entry,fruit
37,2019-09-02 07:25:00,fruit,checkout
38,2019-09-02 07:25:00,fruit,dairy
6,2019-09-02 07:25:00,spices,dairy
34,2019-09-02 07:25:00,spices,fruit
37,2019-09-02 07:26:00,checkout,checkout
6,2019-09-02 07:26:00,dairy,spices
27,2019-09-02 07:26:00,dairy,dairy
38,2019-09-02 07:26:00,dairy,dairy
39,2019-09-02 07:26:00,dairy,checkout
40,2019-09-02 07:26:00,dairy,dairy
42,2019-09-02 07:26:00,dairy,dairy
41,2019-09-02 07:26:00,drinks,dairy
47,2019-09-02 07:26:00,entry,drinks
48,2019-09-02 07:26:00,entry,drinks
49,2019-09-02 07:26:00,entry,spices
34,2019-09-02 07:26:00,fruit,checkout
43,2019-09-02 07:26:00,fruit,fruit
44,2019-09-02 07:26:00,fruit,checkout
46,2019-09-02 07:26:00,fruit,checkout
33,2019-09-02 07:26:00,spices,drinks
45,2019-09-02 07:26:00,spices,dairy
34,2019-09-02 07:27:00,checkout,checkout
39,2019-09-02 07:27:00,checkout,checkout
44,2019-09-02 07:27:00,checkout,checkout
46,2019-09-02 07:27:00,checkout,checkout
27,2019-09-02 07:27:00,dairy,dairy
38,2019-09-02 07:27:00,dairy,dairy
40,2019-09-02 07:27:00,dairy,dairy
41,2019-09-02 07:27:00,dairy,spices
42,2019-09-02 07:27:00,dairy,dairy
45,2019-09-02 07:27:00,dairy,dairy
33,2019-09-02 07:27:00,drinks,drinks
47,2019-09-02 07:27:00,drinks,fruit
48,2019-09-02 07:27:00,drinks,checkout
50,2019-09-02 07:27:00,entry,fruit
51,2019-09-02 07:27:00,entry,fruit
43,2019-09-02 07:27:00,fruit,dairy
6,2019-09-02 07:27:00,spices,spices
49,2019-09-02 07:27:00,spices,checkout
48,2019-09-02 07:28:00,checkout,checkout
49,2019-09-02 07:28:00,checkout,checkout
27,2019-09-02 07:28:00,dairy,dairy
38,2019-09-02 07:28:00,dairy,checkout
40,2019-09-02 07:28:00,dairy,spices
42,2019-09-02 07:28:00,dairy,dairy
43,2019-09-02 07:28:00,dairy,dairy
45,2019-09-02 07:28:00,dairy,dairy
33,2019-09-02 07:28:00,drinks,drinks
52,2019-09-02 07:28:00,entry,drinks
53,2019-09-02 07:28:00,entry,fruit
47,2019-09-02 07:28:00,fruit,fruit
50,2019-09-02 07:28:00,fruit,drinks
51,2019-09-02 07:28:00,fruit,fruit
6,2019-09-02 07:28:00,spices,checkout
41,2019-09-02 07:28:00,spices,spices
6,2019-09-02 07:29:00,checkout,checkout
38,2019-09-02 07:29:00,checkout,checkout
27,2019-09-02 07:29:00,dairy,dairy
42,2019-09-02 07:29:00,dairy,spices
43,2019-09-02 07:29:00,dairy,dairy
45,2019-09-02 07:29:00,dairy,fruit
33,2019-09-02 07:29:00,drinks,drinks
50,2019-09-02 07:29:00,drinks,drinks
52,2019-09-02 07:29:00,drinks,drinks
54,2019-09-02 07:29:00,entry,spices
55,2019-09-02 07:29:00,entry,spices
56,2019-09-02 07:29:00,entry,fruit
57,2019-09-02 07:29:00,entry,fruit
58,2019-09-02 07:29:00,entry,drinks
59,2019-09-02 07:29:00,entry,dairy
47,2019-09-02 07:29:00,fruit,fruit
51,2019-09-02 07:29:00,fruit,fruit
53,2019-09-02 07:29:00,fruit,fruit
40,2019-09-02 07:29:00,spices,checkout
41,2019-09-02 07:29:00,spices,drinks
40,2019-09-02 07:30:00,checkout,checkout
27,2019-09-02 07:30:00,dairy,dairy
43,2019-09-02 07:30:00,dairy,dairy
59,2019-09-02 07:30:00,dairy,dairy
33,2019-09-02 07:30:00,drinks,drinks
41,2019-09-02 07:30:00,drinks,drinks
50,2019-09-02 07:30:00,drinks,spices
52,2019-09-02 07:30:00,drinks,spices
58,2019-09-02 07:30:00,drinks,drinks
45,2019-09-02 07:30:00,fruit,drinks
47,2019-09-02 07:30:00,fruit,fruit
51,2019-09-02 07:30:00,fruit,dairy
53,2019-09-02 07:30:00,fruit,fruit
56,2019-09-02 07:30:00,fruit,fruit
57,2019-09-02 07:30:00,fruit,checkout
42,2019-09-02 07:30:00,spices,spices
54,2019-09-02 07:30:00,spices,dairy
55,2019-09-02 07:30:00,spices,spices
57,2019-09-02 07:31:00,checkout,checkout
27,2019-09-02 07:31:00,dairy,dairy
43,2019-09-02 07:31:00,dairy,dairy
51,2019-09-02 07:31:00,dairy,dairy
54,2019-09-02 07:31:00,dairy,dairy
59,2019-09-02 07:31:00,dairy,dairy
33,2019-09-02 07:31:00,drinks,drinks
41,2019-09-02 07:31:00,drinks,drinks
45,2019-09-02 07:31:00,drinks,drinks
58,2019-09-02 07:31:00,drinks,checkout
47,2019-09-02 07:31:00,fruit,dairy
53,2019-09-02 07:31:00,fruit,checkout
56,2019-09-02 07:31:00,fruit,fruit
42,2019-09-02 07:31:00,spices,fruit
50,2019-09-02 07:31:00,spices,checkout
52,2019-09-02 07:31:00,spices,spices
55,2019-09-02 07:31:00,spices,dairy
50,2019-09-02 07:32:00,checkout,checkout
53,2019-09-02 07:32:00,checkout,checkout
58,2019-09-02 07:32:00,checkout,checkout
27,2019-09-02 07:32:00,dairy,checkout
43,2019-09-02 07:32:00,dairy,dairy
47,2019-09-02 07:32:00,dairy,dairy
51,2019-09-02 07:32:00,dairy,checkout
54,2019-09-02 07:32:00,dairy,dairy
55,2019-09-02 07:32:00,dairy,dairy
59,2019-09-02 07:32:00,dairy,dairy
33,2019-09-02 07:32:00,drinks,checkout
41,2019-09-02 07:32:00,drinks,checkout
45,2019-09-02 07:32:00,drinks,drinks
60,2019-09-02 07:32:00,entry,fruit
61,2019-09-02 07:32:00,entry,spices
62,2019-09-02 07:32:00,entry,spices
42,2019-09-02 07:32:00,fruit,dairy
56,2019-09-02 07:32:00,fruit,dairy
52,2019-09-02 07:32:00,spices,fruit
27,2019-09-02 07:33:00,checkout,checkout
33,2019-09-02 07:33:00,checkout,checkout
41,2019-09-02 07:33:00,checkout,checkout
51,2019-09-02 07:33:00,checkout,checkout
42,2019-09-02 07:33:00,dairy,dairy
43,2019-09-02 07:33:00,dairy,dairy
47,2019-09-02 07:33:00,dairy,dairy
54,2019-09-02 07:33:00,dairy,dairy
55,2019-09-02 07:33:00,dairy,dairy
56,2019-09-02 07:33:00,dairy,spices
59,2019-09-02 07:33:00,dairy,dairy
45,2019-09-02 07:33:00,drinks,fruit
52,2019-09-02 07:33:00,fruit,fruit
60,2019-09-02 07:33:00,fruit,fruit
61,2019-09-02 07:33:00,spices,drinks
62,2019-09-02 07:33:00,spices,spices
42,2019-09-02 07:34:00,dairy,dairy
43,2019-09-02 07:34:00,dairy,dairy
47,2019-09-02 07:34:00,dairy,dairy
54,2019-09-02 07:34:00,dairy,dairy
55,2019-09-02 07:34:00,dairy,checkout
59,2019-09-02 07:34:00,dairy,drinks
61,2019-09-02 07:34:00,drinks,drinks
45,2019-09-02 07:34:00,fruit,fruit
52,2019-09-02 07:34:00,fruit,fruit
60,2019-09-02 07:34:00,fruit,drinks
56,2019-09-02 07:34:00,spices,drinks
62,2019-09-02 07:34:00,spices,drinks
55,2019-09-02 07:35:00,checkout,checkout
42,2019-09-02 07:35:00,dairy,dairy
43,2019-09-02 07:35:00,dairy,dairy
47,2019-09-02 07:35:00,dairy,checkout
54,2019-09-02 07:35:00,dairy,dairy
56,2019-09-02 07:35:00,drinks,drinks
59,2019-09-02 07:35:00,drinks,drinks
60,2019-09-02 07:35:00,drinks,checkout
61,2019-09-02 07:35:00,drinks,drinks
62,2019-09-02 07:35:00,drinks,drinks
45,2019-09-02 07:35:00,fruit,dairy
52,2019-09-02 07:35:00,fruit,drinks
47,2019-09-02 07:36:00,checkout,checkout
60,2019-09-02 07:36:00,checkout,checkout
42,2019-09-02 07:36:00,dairy,dairy
43,2019-09-02 07:36:00,dairy,dairy
45,2019-09-02 07:36:00,dairy,dairy
54,2019-09-02 07:36:00,dairy,checkout
52,2019-09-02 07:36:00,drinks,fruit
56,2019-09-02 07:36:00,drinks,drinks
59,2019-09-02 07:36:00,drinks,drinks
61,2019-09-02 07:36:00,drinks,drinks
62,2019-09-02 07:36:00,drinks,drinks
54,2019-09-02 07:37:00,checkout,checkout
42,2019-09-02 07:37:00,dairy,dairy
43,2019-09-02 07:37:00,dairy,dairy
45,2019-09-02 07:37:00,dairy,dairy
56,2019-09-02 07:37:00,drinks,drinks
59,2019-09-02 07:37:00,drinks,fruit
61,2019-09-02 07:37:00,drinks,drinks
62,2019-09-02 07:37:00,drinks,checkout
52,2019-09-02 07:37:00,fruit,fruit
62,2019-09-02 07:38:00,checkout,checkout
42,2019-09-02 07:38:00,dairy,dairy
43,2019-09-02 07:38:00,dairy,fruit
45,2019-09-02 07:38:00,dairy,dairy
56,2019-09-02 07:38:00,drinks,drinks
61,2019-09-02 07:38:00,drinks,drinks
63,2019-09-02 07:38:00,entry,spices
52,2019-09-02 07:38:00,fruit,checkout
59,2019-09-02 07:38:00,fruit,checkout
52,2019-09-02 07:39:00,checkout,checkout
59,2019-09-02 07:39:00,checkout,checkout
42,2019-09-02 07:39:00,dairy,dairy
45,2019-09-02 07:39:00,dairy,dairy
56,2019-09-02 07:39:00,drinks,checkout
61,2019-09-02 07:39:00,drinks,drinks
64,2019-09-02 07:39:00,entry,drinks
65,2019-09-02 07:39:00,entry,drinks
66,2019-09-02 07:39:00,entry,spices
43,2019-09-02 07:39:00,fruit,fruit
63,2019-09-02 07:39:00,spices,drinks
56,2019-09-02 07:40:00,checkout,checkout
42,2019-09-02 07:40:00,dairy,dairy
45,2019-09-02 07:40:00,dairy,dairy
61,2019-09-02 07:40:00,drinks,checkout
63,2019-09-02 07:40:00,drinks,fruit
64,2019-09-02 07:40:00,drinks,drinks
65,2019-09-02 07:40:00,drinks,drinks
43,2019-09-02 07:40:00,fruit,dairy
66,2019-09-02 07:40:00,spices,spices
61,2019-09-02 07:41:00,checkout,checkout
42,2019-09-02 07:41:00,dairy,dairy
43,2019-09-02 07:41:00,dairy,dairy
45,2019-09-02 07:41:00,dairy,dairy
64,2019-09-02 07:41:00,drinks,fruit
65,2019-09-02 07:41:00,drinks,drinks
67,2019-09-02 07:41:00,entry,dairy
68,2019-09-02 07:41:00,entry,spices
69,2019-09-02 07:41:00,entry,fruit
70,2019-09-02 07:41:00,entry,spices
63,2019-09-02 07:41:00,fruit,fruit
66,2019-09-02 07:41:00,spices,spices
42,2019-09-02 07:42:00,dairy,dairy
43,2019-09-02 07:42:00,dairy,checkout
45,2019-09-02 07:42:00,dairy,dairy
67,2019-09-02 07:42:00,dairy,dairy
65,2019-09-02 07:42:00,drinks,drinks
71,2019-09-02 07:42:00,entry,dairy
72,2019-09-02 07:42:00,entry,spices
73,2019-09-02 07:42:00,entry,dairy
74,2019-09-02 07:42:00,entry,spices
75,2019-09-02 07:42:00,entry,spices
63,2019-09-02 07:42:00,fruit,dairy
64,2019-09-02 07:42:00,fruit,drinks
69,2019-09-02 07:42:00,fruit,checkout
66,2019-09-02 07:42:00,spices,drinks
68,2019-09-02 07:42:00,spices,spices
70,2019-09-02 07:42:00,spices,spices
43,2019-09-02 07:43:00,checkout,checkout
69,2019-09-02 07:43:00,checkout,checkout
42,2019-09-02 07:43:00,dairy,checkout
45,2019-09-02 07:43:00,dairy,dairy
63,2019-09-02 07:43:00,dairy,fruit
67,2019-09-02 07:43:00,dairy,spices
71,2019-09-02 07:43:00,dairy,fruit
73,2019-09-02 07:43:00,dairy,checkout
64,2019-09-02 07:43:00,drinks,drinks
65,2019-09-02 07:43:00,drinks,drinks
66,2019-09-02 07:43:00,drinks,drinks
76,2019-09-02 07:43:00,entry,drinks
77,2019-09-02 07:43:00,entry,fruit
78,2019-09-02 07:43:00,entry,spices
79,2019-09-02 07:43:00,entry,dairy
68,2019-09-02 07:43:00,spices,spices
70,2019-09-02 07:43:00,spices,drinks
72,2019-09-02 07:43:00,spices,spices
74,2019-09-02 07:43:00,spices,spices
75,2019-09-02 07:43:00,spices,dairy
42,2019-09-02 07:44:00,checkout,checkout
73,2019-09-02 07:44:00,checkout,checkout
45,2019-09-02 07:44:00,dairy,dairy
75,2019-09-02 07:44:00,dairy,drinks
79,2019-09-02 07:44:00,dairy,dairy
64,2019-09-02 07:44:00,drinks,checkout
65,2019-09-02 07:44:00,drinks,drinks
66,2019-09-02 07:44:00,drinks,spices
70,2019-09-02 07:44:00,drinks,drinks
76,2019-09-02 07:44:00,drinks,drinks
63,2019-09-02 07:44:00,fruit,fruit
71,2019-09-02 07:44:00,fruit,fruit
77,2019-09-02 07:44:00,fruit,fruit
67,2019-09-02 07:44:00,spices,spices
68,2019-09-02 07:44:00,spices,drinks
72,2019-09-02 07:44:00,spices,drinks
74,2019-09-02 07:44:00,spices,fruit
78,2019-09-02 07:44:00,spices,dairy
64,2019-09-02 07:45:00,checkout,checkout
45,2019-09-02 07:45:00,dairy,dairy
78,2019-09-02 07:45:00,dairy,dairy
79,2019-09-02 07:45:00,dairy,dairy
65,2019-09-02 07:45:00,drinks,dairy
68,2019-09-02 07:45:00,drinks,drinks
70,2019-09-02 07:45:00,drinks,drinks
72,2019-09-02 07:45:00,drinks,drinks
75,2019-09-02 07:45:00,drinks,drinks
76,2019-09-02 07:45:00,drinks,drinks
63,2019-09-02 07:45:00,fruit,drinks
71,2019-09-02 07:45:00,fruit,fruit
74,2019-09-02 07:45:00,fruit,checkout
77,2019-09-02 07:45:00,fruit,fruit
66,2019-09-02 07:45:00,spices,spices
67,2019-09-02 07:45:00,spices,drinks
74,2019-09-02 07:46:00,checkout,checkout
45,2019-09-02 07:46:00,dairy,dairy
65,2019-09-02 07:46:00,dairy,checkout
78,2019-09-02 07:46:00,dairy,dairy
79,2019-09-02 07:46:00,dairy,dairy
63,2019-09-02 07:46:00,drinks,drinks
67,2019-09-02 07:46:00,drinks,drinks
68,2019-09-02 07:46:00,drinks,drinks
70,2019-09-02 07:46:00,drinks,checkout
72,2019-09-02 07:46:00,drinks,drinks
75,2019-09-02 07:46:00,drinks,spices
76,2019-09-02 07:46:00,drinks,drinks
80,2019-09-02 07:46:00,entry,dairy
81,2019-09-02 07:46:00,entry,drinks
82,2019-09-02 07:46:00,entry,drinks
83,2019-09-02 07:46:00,entry,fruit
71,2019-09-02 07:46:00,fruit,fruit
77,2019-09-02 07:46:00,fruit,fruit
66,2019-09-02 07:46:00,spices,checkout
65,2019-09-02 07:47:00,checkout,checkout
66,2019-09-02 07:47:00,checkout,checkout
70,2019-09-02 07:47:00,checkout,checkout
45,2019-09-02 07:47:00,dairy,dairy
78,2019-09-02 07:47:00,dairy,checkout
79,2019-09-02 07:47:00,dairy,dairy
80,2019-09-02 07:47:00,dairy,drinks
63,2019-09-02 07:47:00,drinks,checkout
67,2019-09-02 07:47:00,drinks,checkout
68,2019-09-02 07:47:00,drinks,fruit
72,2019-09-02 07:47:00,drinks,drinks
76,2019-09-02 07:47:00,drinks,drinks
81,2019-09-02 07:47:00,drinks,fruit
82,2019-09-02 07:47:00,drinks,drinks
84,2019-09-02 07:47:00,entry,fruit
85,2019-09-02 07:47:00,entry,drinks
71,2019-09-02 07:47:00,fruit,fruit
77,2019-09-02 07:47:00,fruit,fruit
83,2019-09-02 07:47:00,fruit,dairy
75,2019-09-02 07:47:00,spices,drinks
63,2019-09-02 07:48:00,checkout,checkout
67,2019-09-02 07:48:00,checkout,checkout
78,2019-09-02 07:48:00,checkout,checkout
45,2019-09-02 07:48:00,dairy,dairy
79,2019-09-02 07:48:00,dairy,dairy
83,2019-09-02 07:48:00,dairy,checkout
72,2019-09-02 07:48:00,drinks,drinks
75,2019-09-02 07:48:00,drinks,drinks
76,2019-09-02 07:48:00,drinks,dairy
80,2019-09-02 07:48:00,drinks,drinks
